模型Top5排名,股票代码,实际收益率,真实Top5排名,模型分数
1,605117,0.0142,1,-0.3443
2,002384,0.0074,2,-1.4629
3,601868,0.0384,3,0.5531
4,002709,0.0012,4,-1.6427
5,300274,0.0292,5,-1.1001
