date,port,excess,top5,ndcg5
2026-01-05,0.03047080229128321,0.01978229450582572,0.352987223047564,0.0
2026-01-06,0.06347215162099935,0.06323964891901288,0.38729170738357627,0.0
2026-01-07,-0.014773789341365143,-0.016177924030839088,0.3099106565151289,0.0
2026-01-08,-0.0005655291649154127,0.00031482161101523565,0.3039839206307353,0.0
2026-01-09,0.015810636124280675,0.013969809267820084,0.15755084491155577,0.0
2026-01-12,-0.052792272434540634,-0.03656603063391535,0.1695286657592206,0.0
2026-01-13,-0.04766623094738371,-0.04120902340250604,0.189520760805778,0.0
2026-01-14,-0.07456573454705792,-0.07303189041662685,0.2154064194256417,0.0
2026-01-15,-0.021939670801822082,-0.014264472365314612,0.25671896975709096,0.0
2026-01-16,0.029788096127918655,0.027798665395773945,0.23088526246201915,0.0
2026-01-19,0.04288375639637635,0.047429821619998154,0.2108587061729683,0.0
2026-01-20,0.007845483992875182,0.009835004062228168,0.2207446872657785,0.0
2026-01-21,0.020511509495144534,0.02391813861902925,0.20736225449277051,0.0
2026-01-22,0.003400876132040942,0.0026602403257280395,0.27582055085129104,0.0
2026-01-23,0.01831862330401366,0.01668445857485617,0.1628960083847366,0.0
2026-01-26,-0.05905999205432555,-0.052493072877004464,0.16017500157640951,0.0
2026-01-27,-0.029541331717638297,-0.013195475717172472,0.11318905447228353,0.0
2026-01-28,0.008829024314713923,0.02681322443911909,0.16316174996097493,0.0
2026-01-29,-0.03126848136808651,-0.01891781450465562,0.17283008649131698,0.0
2026-01-30,-0.06578027346831924,-0.054805054825363256,0.15552889455832677,0.0
2026-02-02,0.06329393382838552,0.053545522486348765,0.19698270029188952,0.14606834984270645
2026-02-03,-0.04929272661470032,-0.06441505826803749,0.14268447244650706,0.0
2026-02-04,0.02407850983313809,0.013162185482226713,0.1774982213498592,0.0
2026-02-05,0.060327633234475694,0.03933816080669014,0.21328267119176814,0.0
2026-02-06,0.003974790296791431,0.004030375780351629,0.21810269549610148,0.0
2026-02-09,0.014723077653509702,0.012806924411099253,0.2026560303836588,0.0
2026-02-10,0.03722346235978359,0.03766757743425555,0.18984816060369425,0.0
2026-02-11,-0.005846824439947726,-0.01037671035011092,0.17467551616638588,0.14606834984270645
2026-02-12,0.00021965482633833932,-0.0008221035913036251,0.2242262687247512,0.0
2026-02-13,0.07575308053605193,0.08554345520710316,0.24539425641984325,0.36005461457723403
2026-02-24,0.04667352057656991,0.041636791981966334,0.28327348449181783,0.14606834984270645
2026-02-25,-0.037377261622059246,-0.00949560431214301,0.2515796193935425,0.0
2026-02-26,0.009488563503614772,0.01935564308559129,0.218121932315747,0.0
2026-02-27,-0.06004143127414328,-0.04732619506069117,0.15312607718851093,0.0
2026-03-02,-0.06640586562898695,-0.03747326150737922,0.157255795179822,0.0
2026-03-03,0.0485292688253673,0.03993919453078046,0.2293667175505984,0.13120507751234178
2026-03-04,0.015800371855690044,0.009547047302919904,0.18948460532998362,0.21398626473452756
2026-03-05,0.08854408133004753,0.07140100990892113,0.2570607818494513,0.14606834984270645
2026-03-06,-0.010521300907366258,-0.02547882444384091,0.2167402367049859,0.0
2026-03-09,0.043541366784035716,0.03914473421007563,0.1978317969394915,0.0
2026-03-10,-0.06026591437778343,-0.06123538016818736,0.12816079311618397,0.0
2026-03-11,-0.02609286395150872,-0.01503736724626948,0.0915300957241991,0.0
2026-03-12,-0.06533199050997869,-0.05299075339765868,0.13056750426569155,0.0
2026-03-13,-0.011824212615344614,0.0023973365281202592,0.1187030243780236,0.0
2026-03-16,-0.03860340618385382,0.0011930992442907573,0.06929308329423486,0.0
2026-03-17,-0.04812321321225988,-0.007285519084608415,0.09888853759680949,0.0
2026-03-18,-0.035341621234083964,-0.01261223469258312,0.11075232701083138,0.0
2026-03-19,-0.010589641796886151,0.0062459919194405855,0.10085384653117187,0.0
2026-03-20,-0.021008184472305874,-0.005983625340440167,0.08924149413411765,0.0
2026-03-23,0.0074585759632141745,0.006824048320859383,0.14992844230017904,0.0
2026-03-24,-0.004704025170194605,-0.0014413172726409815,0.12702689772358172,0.0
2026-03-25,-0.0015042123063047804,0.0002762990823585742,0.12645834165890535,0.0
2026-03-26,0.019191738824604974,0.0004761489866279764,0.17111410826009738,0.0
2026-03-27,0.0017776160097954436,-0.005194870735108031,0.14419095929021178,0.0
2026-03-30,0.026465315755433087,0.03671919177537825,0.13019502059197144,0.13120507751234178
2026-03-31,0.002593942996347415,0.002578756838738253,0.15127864876108382,0.0
2026-04-01,0.015921104787073367,0.00523805596880976,0.1444829701559147,0.21398626473452756
2026-04-02,0.04623881979140004,0.023513670136262585,0.18938834146854472,0.0
2026-04-03,0.027993069099196632,-0.010080925696817414,0.21782779466840285,0.0
2026-04-07,0.03723092273147659,0.00208121306714161,0.2280288789954732,0.0
2026-04-08,0.06330255862028053,0.027365593120959708,0.21221056135576485,0.3391602052736161
2026-04-09,-0.03182502131989007,-0.05347580564781271,0.11862162991253011,0.0
2026-04-10,0.03470764174180745,0.010036175069015947,0.11884927331410625,0.0
2026-04-13,0.037672913572187224,0.02675733360514814,0.1256644413948531,0.3391602052736161
2026-04-14,0.01112755693233025,0.00607601723437876,0.1339709559032036,0.0
2026-04-15,0.027700387698629945,0.015590613114451903,0.17593835656976325,0.0
2026-04-16,0.035372880308272556,0.01696905493742363,0.20475043514496655,0.0
2026-04-17,0.06975697090417234,0.06032876401294425,0.18299251986263398,0.21398626473452756
2026-04-20,-0.036589796212853486,-0.04202503861152486,0.16248656569719483,0.0
2026-04-21,0.026772955376474183,0.02555282085860096,0.15791448414930748,0.0
2026-04-22,-0.00968412734485256,0.006605483341898911,0.1346506503630923,0.13120507751234178
2026-04-23,-0.006342500943359862,-0.016660928530743736,0.15617019127669993,0.0
2026-04-24,0.003411995772290921,-0.01361331721297253,0.22527118461156603,0.0
2026-04-27,0.06565230488927701,0.036490802633879216,0.22798107018689304,0.0
2026-04-28,0.0982843152641151,0.07009626844565287,0.23742384897157204,0.0
2026-04-29,0.02894674973058257,0.012081705348242652,0.2737828181084646,0.0
2026-04-30,0.051434500013097795,0.029332512792394908,0.2439705986578391,0.0
2026-05-06,-0.01304199598442598,-0.01786749937865145,0.15917166212988393,0.0
2026-05-07,0.042799888415721674,0.010667227303083816,0.26799651446822953,0.0
2026-05-08,-0.02309911772725385,-0.025005333766635513,0.18857856589122246,0.0
2026-05-11,-0.052618824329004554,-0.026699701183919948,0.14557618043697212,0.0
2026-05-12,-0.01808456543298138,0.002389311919509026,0.17643011486431903,0.0
2026-05-13,-0.02172993607653151,0.017657844334577906,0.1294043138884376,0.0
2026-05-14,-0.020830972130111588,-0.015662944450133078,0.25737209995000604,0.0
2026-05-15,0.0102401776349192,0.0138555440515022,0.19208223742086733,0.0
2026-05-18,0.07484469441091487,0.06353644896547349,0.2779116160608538,0.0
2026-05-19,0.06473052027092911,0.05013260083933241,0.3195156528839501,0.0
2026-05-20,0.10603608783310747,0.09484005318977488,0.27279767608210703,0.3391602052736161
2026-05-21,0.036893248111170465,0.02227928523812834,0.2591707434514903,0.0
2026-05-22,0.12297721408365503,0.10977936664217502,0.20117280191229409,0.14606834984270645
2026-05-25,-0.01918648590554132,-0.018733761855298632,0.18095797115021636,0.0
2026-05-26,-0.07838323858681522,-0.06212450802079849,0.15598210685024744,0.0
2026-05-27,-0.015381096365867703,-0.02194212222457582,0.14481238766507076,0.21398626473452756
2026-05-28,-0.031065655553106142,-0.022924814414069957,0.14109771700628834,0.0
2026-05-29,0.010526629882059749,0.012758669560805205,0.1784454346045405,0.0
2026-06-01,-0.011907838505124866,0.020359477467993606,0.12636964250494476,0.0
2026-06-02,-0.05118601825370739,-0.015038579276411605,0.1300274040606393,0.0
2026-06-03,0.03901667568988195,0.06846157739155678,0.16322327845764364,0.16958010263680806
2026-06-04,-0.008752413998631112,0.023351870777736695,0.09521512564047546,0.21398626473452756
2026-06-05,0.05567112374415204,0.038479265208461594,0.268032138876788,0.21398626473452756
2026-06-08,0.043674885860136584,0.025578755205879742,0.20643390083347626,0.0
2026-06-09,0.09690254942542004,0.0670772478979208,0.25057863383463913,0.0
2026-06-10,-0.006371733993223038,-0.03377706735812749,0.23738981828062905,0.0
2026-06-11,-0.002479236789020639,-0.02994308171477008,0.2222948745493944,0.0
2026-06-12,0.10530885444497895,0.08044865039753395,0.31691508216823333,0.16958010263680806
2026-06-15,-0.032492549484196206,-0.06377974078015992,0.2739094170334253,0.0
2026-06-16,0.020490986877137622,0.012119566840037567,0.24219262444218176,0.0
2026-06-17,0.08023060056386785,0.07312507047119704,0.22883286531782035,0.5531464700081437
2026-06-18,0.014608664319218315,0.008046301944733103,0.23233251587321138,0.0
