date,open,high,low,close,preclose,volume,amount,pctChg,return_1d,ma5,ma20,volatility_20d
2019-01-02,3017.067,3018.775,2958.488,2969.535,3010.653,6866302208,76105572352.0,-1.3658,,,,
2019-01-03,2963.018,3000.441,2953.254,2964.842,2969.535,7086710272,76664799232.0,-0.158,-0.0015803821136978202,,,
2019-01-04,2940.191,3036.814,2935.829,3035.874,2964.842,10331897088,107141038080.0,2.3958,0.023958106367893972,,,
2019-01-07,3055.153,3061.749,3035.912,3054.303,3035.874,10116435968,105703940096.0,0.607,0.006070410036780105,,,
2019-01-08,3049.874,3055.51,3038.533,3047.703,3054.303,8617058560,79628881920.0,-0.2161,-0.002160885806025137,3014.4514,,
2019-01-09,3065.23,3117.961,3062.847,3078.475,3047.703,10736434944,117129678848.0,1.0097,0.010096784365143163,3036.2394,,
2019-01-10,3077.481,3092.541,3062.572,3072.686,3078.475,8527175680,90206871552.0,-0.188,-0.0018804765346477348,3057.8082,,
2019-01-11,3082.261,3102.833,3071.026,3094.778,3072.686,7178642432,77420240896.0,0.719,0.007189800715074579,3069.589,,
2019-01-14,3092.498,3097.406,3064.382,3067.784,3094.778,6612170240,68115969024.0,-0.8722,-0.008722435017955998,3072.2852,,
2019-01-15,3071.518,3129.37,3064.67,3127.99,3067.784,8877296128,99976892416.0,1.9625,0.01962524089049289,3088.3426,,
2019-01-16,3126.134,3135.011,3117.292,3128.651,3127.99,8021434112,85781590016.0,0.0211,0.0002113178111182723,3098.3777999999998,,
2019-01-17,3132.628,3141.709,3110.06,3111.416,3128.651,8017487104,82888208384.0,-0.5509,-0.0055087640008424366,3106.1238,,
2019-01-18,3124.502,3171.686,3120.345,3168.173,3111.416,10396383488,106780659712.0,1.8242,0.018241533758263095,3120.8028,,
2019-01-21,3170.877,3199.213,3170.877,3185.636,3168.173,9391502336,105536987136.0,0.5512,0.005512009603011014,3144.3732,,
2019-01-22,3181.949,3181.949,3135.337,3143.317,3185.636,7299052800,78150877184.0,-1.3284,-0.013284317480088736,3147.4386,,
2019-01-23,3136.096,3157.626,3131.867,3141.053,3143.317,5987047936,62669651968.0,-0.072,-0.0007202582494861831,3149.919,,
2019-01-24,3146.604,3165.629,3125.3,3158.781,3141.053,7293463552,80963878912.0,0.5644,0.00564396716642479,3159.3920000000003,,
2019-01-25,3165.181,3203.174,3164.408,3184.469,3158.781,8396772864,93207953408.0,0.8132,0.008132251017085368,3162.6512,,
2019-01-28,3203.118,3228.867,3174.724,3183.777,3184.469,8262243072,97371496448.0,-0.0217,-0.00021730467465685965,3162.2794,,
2019-01-29,3177.261,3200.989,3148.234,3193.969,3183.777,7765833472,85943910400.0,0.3201,0.00320122923182109,3172.4098000000004,3105.6606,
2019-01-30,3181.655,3202.896,3167.893,3168.482,3193.969,6374651648,73005121536.0,-0.798,-0.007979726791337072,3177.8956000000003,3115.6079499999996,0.00963060929395337
2019-01-31,3182.698,3216.067,3178.01,3201.633,3168.482,8624783872,97509924864.0,1.0463,0.010462738939340577,3186.466,3127.4474999999998,0.009686305999170508
2019-02-01,3225.733,3247.495,3207.716,3247.397,3201.633,8201964032,94766411776.0,1.4294,0.014293955615774845,3199.0516,3138.02365,0.008836462713455506
2019-02-11,3239.807,3307.063,3239.807,3306.472,3247.397,9881843456,114752356352.0,1.8191,0.018191493063521413,3223.5906000000004,3150.6321,0.00942459979618936
2019-02-12,3306.352,3335.36,3298.633,3330.335,3306.472,12223246336,122834100224.0,0.7217,0.007217057939701288,3250.8638,3164.7637000000004,0.00933394050271203
2019-02-13,3337.779,3405.577,3329.143,3397.027,3330.335,16382833152,168866263040.0,2.0026,0.02002561303892847,3296.5728000000004,3180.6913,0.009895266956869066
2019-02-14,3392.854,3415.399,3381.982,3402.14,3397.027,15112729088,138649288704.0,0.1505,0.0015051396412215645,3336.6742,3197.1639999999998,0.009800197169271413
2019-02-15,3391.242,3395.029,3335.87,3338.704,3402.14,14366860288,141555060736.0,-1.8646,-0.018645911103011503,3354.9356,3209.3603000000003,0.0111298481969694
2019-02-18,3366.423,3445.744,3366.423,3445.744,3338.704,18288609024,180449742848.0,3.206,0.03206034437314598,3382.79,3228.2583000000004,0.012370250305410424
2019-02-19,3454.721,3480.793,3419.073,3439.607,3445.744,17908378624,185762746368.0,-0.1781,-0.0017810377091276308,3404.6444,3243.83915,0.01204175649230491
2019-02-20,3449.932,3463.773,3421.505,3451.927,3439.607,14739031040,145570263040.0,0.3582,0.0035818045491826656,3415.6243999999997,3260.00295,0.011997247227964667
2019-02-21,3450.141,3500.251,3431.631,3442.705,3451.927,18014328832,185197154304.0,-0.2672,-0.0026715512813568765,3423.7374000000004,3276.5674000000004,0.011882717025091222
2019-02-22,3439.378,3520.118,3417.978,3520.118,3442.705,18723797504,202869288960.0,2.2486,0.02248609741467833,3460.0202,3294.16465,0.012163642009730738
2019-02-25,3575.852,3729.483,3574.688,3729.483,3520.118,34255712256,376382394368.0,5.9477,0.05947669936064659,3516.768,3321.357,0.017160419790239075
2019-02-26,3734.705,3762.112,3679.27,3684.693,3729.483,35803869696,387632861184.0,-1.201,-0.012009707511738243,3565.7852,3348.4258,0.01707919701010421
2019-02-27,3682.811,3737.631,3638.333,3678.392,3684.693,28623600640,307306147840.0,-0.171,-0.0017100474856386327,3611.0782,3375.2927499999996,0.01710754921513077
2019-02-28,3675.264,3695.464,3650.053,3669.37,3678.392,18481021952,206010957824.0,-0.2453,-0.0024527021589868525,3656.4112,3400.8222,0.01726290447295067
2019-03-01,3699.215,3749.714,3668.765,3749.714,3669.37,20471100416,235620622336.0,2.1896,0.021895856781954492,3702.3304000000003,3429.08445,0.017554667242659878
2019-03-04,3783.036,3886.579,3764.776,3794.104,3749.714,32349012736,376397283328.0,1.1838,0.0118382361961471,3715.2546,3459.6008,0.017451809009192524
2019-03-05,3785.376,3816.162,3770.785,3816.013,3794.104,23085316608,261464121344.0,0.5774,0.005774485886522962,3741.5186000000003,3490.703,0.017416651542821206
2019-03-06,3822.858,3855.155,3787.522,3848.09,3816.013,31807737088,331155615744.0,0.8406,0.008405893795435215,3775.4581999999996,3524.6833999999994,0.01695119686263948
2019-03-07,3841.145,3845.182,3778.8,3808.849,3848.09,32984654848,359339151360.0,-1.0198,-0.010197526565127069,3803.3540000000003,3555.0441999999994,0.017534410152257922
2019-03-08,3721.401,3774.543,3656.191,3657.579,3808.849,31799007744,349296693248.0,-3.9715,-0.039715410088454584,3784.9270000000006,3575.5532999999996,0.020553270947778035
2019-03-11,3663.977,3731.909,3650.812,3729.954,3657.579,23091286528,268718460928.0,1.9788,0.01978767922716096,3772.097,3596.7274000000007,0.02060546614717655
2019-03-12,3758.315,3804.72,3723.678,3755.351,3729.954,27492638208,325180620800.0,0.6809,0.006808931155719344,3759.9646000000002,3617.9782,0.02060465338098348
2019-03-13,3758.713,3763.092,3708.814,3724.194,3755.351,23368224768,286171049984.0,-0.8297,-0.00829669450338999,3735.1854,3634.33655,0.02057936243030305
2019-03-14,3710.293,3747.819,3673.85,3698.485,3724.194,19081723648,231820148736.0,-0.6903,-0.006903238660499356,3713.1126000000004,3649.1538,0.020735661954019734
2019-03-15,3713.936,3782.236,3713.936,3745.005,3698.485,17517454336,224194363392.0,1.2578,0.012578123204501246,3730.5978000000005,3669.4688499999997,0.020075178043162313
2019-03-18,3753.643,3851.747,3733.678,3851.747,3745.005,21692805888,276473450496.0,2.8503,0.028502498661550524,3754.9564,3689.7690000000002,0.019846064603335333
2019-03-19,3856.588,3868.335,3815.218,3833.962,3851.747,18172710912,224096890880.0,-0.4617,-0.004617385305940358,3770.6786,3709.48675,0.019912884254864156
2019-03-20,3825.335,3855.146,3790.511,3835.439,3833.962,17563208960,215406993408.0,0.0385,0.0003852411682745416,3792.9276,3728.66235,0.01994297869325148
2019-03-21,3840.278,3864.069,3823.466,3836.891,3835.439,19631031040,231993446400.0,0.0379,0.0003785746559912262,3820.6088000000004,3748.37165,0.019889045787801447
2019-03-22,3838.125,3845.58,3786.591,3833.801,3836.891,17135699200,198518386688.0,-0.0805,-0.0008053395314071565,3838.368,3764.0558000000005,0.01952817161489906
2019-03-25,3776.442,3807.179,3741.606,3742.825,3833.801,19858632960,223396564992.0,-2.373,-0.023729974508327367,3816.5835999999995,3764.7228999999998,0.015672099245952437
2019-03-26,3766.528,3770.843,3687.547,3700.438,3742.825,17304657920,196547809280.0,-1.1325,-0.011324868247914233,3789.8788,3765.5101499999996,0.015644521596270194
2019-03-27,3724.405,3750.264,3703.45,3743.387,3700.438,13875845376,177507528704.0,1.1606,0.011606463883464535,3771.4684,3768.7599,0.01583533245645383
2019-03-28,3731.061,3755.716,3710.081,3728.395,3743.387,13327212800,172604391424.0,-0.4005,-0.004004929225858933,3749.7692,3771.71115,0.015856913522837676
2019-03-29,3739.773,3876.379,3739.773,3872.341,3728.395,21563910400,283022299136.0,3.8608,0.03860803375178867,3757.4772000000003,3777.8425,0.017387056118595434
2019-04-01,3901.169,3982.909,3901.169,3973.928,3872.341,27138270464,340799401984.0,2.6234,0.026234001602648105,3803.6978000000004,3786.8337,0.018109467107505727
2019-04-02,3986.344,3988.097,3956.505,3971.285,3973.928,22600034048,281892057088.0,-0.0665,-0.0006650850241877171,3857.8671999999997,3794.5973,0.018104938146622937
2019-04-03,3947.869,4026.497,3939.783,4022.156,3971.285,23191736832,284826497024.0,1.281,0.012809707689072969,3913.621,3803.3006,0.0182114697719863
2019-04-04,4039.741,4072.113,4021.705,4062.23,4022.156,26041093888,313539432448.0,0.9963,0.009963313208140034,3980.388,3815.9696500000005,0.018036234686358833
2019-04-08,4097.102,4122.603,4017.488,4057.228,4062.23,26750557696,324670451712.0,-0.1231,-0.001231343375436622,4017.3654,3835.9521,0.014992646956550063
2019-04-09,4063.813,4084.243,4038.282,4075.43,4057.228,18295680768,243187912704.0,0.4486,0.0044863143012914275,4037.6658,3853.2259,0.014599928850885117
2019-04-10,4062.442,4115.378,4035.474,4085.847,4075.43,19468761344,278282027008.0,0.2556,0.002556049300319385,4060.5782,3869.7506999999996,0.014596100199507418
2019-04-11,4083.461,4097.124,3990.239,3997.577,4085.847,16904964096,236259155968.0,-2.1604,-0.021603843707314496,4055.6623999999997,3883.4198499999998,0.01547843940084021
2019-04-12,3986.782,4006.933,3961.464,3988.616,3997.577,13586211840,178795937792.0,-0.2242,-0.00224160785395755,4040.9396,3897.9263999999994,0.01534551136447964
2019-04-15,4056.491,4085.388,3974.226,3975.524,3988.616,18264557056,236298723328.0,-0.3282,-0.003282341544034395,4024.5988000000007,3909.4523500000005,0.01528281470893781
2019-04-16,3958.096,4085.789,3943.487,4085.789,3975.524,20204196608,250569207808.0,2.7736,0.027735966378268806,4026.6706000000004,3921.1544500000005,0.01521657753464749
2019-04-17,4080.717,4106.615,4057.503,4087.239,4085.789,18036711680,228824428544.0,0.0355,0.0003548886151487629,4026.9489999999996,3933.8183000000004,0.015124833703562646
2019-04-18,4085.114,4094.053,4056.235,4072.075,4087.239,14656212224,187812687872.0,-0.371,-0.0037100839955774845,4041.8486,3945.6501000000003,0.015194098654426657
2019-04-19,4076.295,4120.635,4046.204,4120.607,4072.075,15079491072,194701692928.0,1.1918,0.01191824806763142,4068.2468,3959.8358999999996,0.015303757145163872
2019-04-22,4125.971,4126.09,4015.474,4025.61,4120.607,18935374592,244380549120.0,-2.3054,-0.023054127704971616,4078.264,3969.4263499999993,0.016415498519022444
2019-04-23,4021.627,4061.085,4005.283,4019.005,4025.61,15561165056,204121505792.0,-0.1641,-0.001640745129309562,4064.9072,3983.23535,0.01525484135911359
